Порядок N = 40
a0 = 0.039734
k=1: a_k=0.163571, b_k=0.005143
k=2: a_k=0.040389, b_k=-0.010413
k=3: a_k=0.169075, b_k=0.015947
k=4: a_k=0.042490, b_k=-0.021908
k=5: a_k=0.181275, b_k=0.028497
k=6: a_k=0.046522, b_k=-0.035981
k=7: a_k=0.203277, b_k=0.044738
k=8: a_k=0.053650, b_k=-0.055326
k=9: a_k=0.242524, b_k=0.068626
k=10: a_k=0.066812, b_k=-0.086124
k=11: a_k=0.319675, b_k=0.110559
k=12: a_k=0.095426, b_k=-0.147610
k=13: a_k=0.517056, b_k=0.211335
k=14: a_k=0.193221, b_k=-0.348699
k=15: a_k=1.848931, b_k=0.871973
k=16: a_k=-1.058763, b_k=2.183675
k=17: a_k=-0.951161, b_k=-0.508387
k=18: a_k=-0.126897, b_k=0.294437
k=19: a_k=-0.351794, b_k=-0.210152
k=20: a_k=-0.063970, b_k=0.164921
k=21: a_k=-0.206919, b_k=-0.136619
k=22: a_k=-0.041322, b_k=0.117185
k=23: a_k=-0.142408, b_k=-0.102980
k=24: a_k=-0.029776, b_k=0.092118
k=25: a_k=-0.106265, b_k=-0.083526
k=26: a_k=-0.022839, b_k=0.076547
k=27: a_k=-0.083349, b_k=-0.070755
k=28: a_k=-0.018248, b_k=0.065864
k=29: a_k=-0.067640, b_k=-0.061673
k=30: a_k=-0.015008, b_k=0.058038
k=31: a_k=-0.056276, b_k=-0.054850
k=32: a_k=-0.012614, b_k=0.052030
k=33: a_k=-0.047724, b_k=-0.049516
k=34: a_k=-0.010782, b_k=0.047257
k=35: a_k=-0.041089, b_k=-0.045216
k=36: a_k=-0.009344, b_k=0.043360
k=37: a_k=-0.035817, b_k=-0.041666
k=38: a_k=-0.008189, b_k=0.040112
k=39: a_k=-0.031545, b_k=-0.038679
k=40: a_k=-0.007245, b_k=0.037355
